date,tau_along_3d,tau_along_7d,tau_along_14d,tau_along_30d,wind3_7d,wind3_30d,sstC_7d,sstC_30d,dT_14d,heat_14d,heat_30d,tp_mm_7d,tp_mm_30d,region,fraser_log_7d,fraser_log_30d
2019-03-26 00:00:00+00:00,-0.003152963566685542,-0.0017402241354175334,0.0007384478884129291,1.122168323638012e-05,14.214949077151868,13.89944168143419,8.442546785714317,6.90944797222225,0.9386633333333277,443.61241282242065,407.29887423225307,3.0625207186714305,1.7459869449506664,burrard,2.886973178435316,2.818462467881716
2019-03-27 00:00:00+00:00,-0.0014580923398481713,-0.0020212964313893133,0.0012840433386270337,0.0001903564044447753,10.802309515819351,14.018885080717345,8.520994523809561,6.983506888888919,1.0153774107142794,447.89147037037037,410.93691950617284,3.074305408100002,1.748736705817333,burrard,2.9083014759307084,2.821966319580264
2019-03-28 00:00:00+00:00,-0.001221945260215764,-0.0016788228432265593,0.0018678191019272314,0.00033850802330678045,9.931818892682765,12.89096267840144,8.579823452380984,7.064036638888918,1.1399890178571386,454.76401223544974,414.7538448533951,3.0744416472857163,1.7487684949606666,burrard,2.930694149450784,2.827315184618913
2019-03-29 00:00:00+00:00,0.003626510401779054,3.149838094612444e-05,0.0020468947351479573,0.0005128085293774025,7.333152855705936,12.25280239025875,8.68665678571431,7.155955250000028,1.1600344047619038,460.37368106812164,420.2124904475309,3.0042784646857164,1.7473061943119998,burrard,2.9544709614765052,2.83431709211514
2019-03-30 00:00:00+00:00,0.0011268685903591434,0.00018838133629511035,0.0016486632190151334,0.0006284603915125778,7.258500120958848,12.05593099907484,8.833435833333365,7.266591638888917,1.141299047619039,463.82581750992057,423.97566712962964,2.2633416276142877,1.6673247081453333,burrard,2.9911604376439236,2.8453575872619123
2019-03-31 00:00:00+00:00,0.0013412687363784051,6.486126345126955e-05,0.001110054910372241,0.0004616963166314069,7.114043867262843,11.780079204441892,9.0273066666667,7.390638777777806,1.0711928571428473,466.55726383101853,427.886908595679,2.2588457344714308,1.6672770244286665,burrard,3.0329977528705743,2.8585765148976687
2019-04-01 00:00:00+00:00,0.0029766927084548278,0.00113461708749161,0.0009249247944943305,0.000565032797230397,9.181653358877222,12.059691630297284,9.181862857142894,7.509625583333362,1.0138826488095074,469.24466688988093,431.79854701003086,2.2438594237571445,1.6672770244286665,burrard,3.0753329139007684,2.8723967558937233
2019-04-02 00:00:00+00:00,0.007064076003856481,0.004567112580813121,0.0014134442226977956,0.0012343425616175689,10.8217110114164,12.225235431986537,9.309922261904799,7.629511333333361,0.9067538988095042,470.60689828042325,435.43736452160493,0.011920928614287743,1.6672770244286665,burrard,3.118267527939628,2.8873639656367747
2019-04-03 00:00:00+00:00,0.006055159103208436,0.003284826167618387,0.0006317648681145389,0.001260082506742691,8.664248815213677,11.922499275050784,9.478303095238127,7.753477694444473,0.7410664583333114,466.20616174768514,436.6632719868827,1.7683165457571448,2.0798524292953333,burrard,3.163231199101807,2.9038495934340736
2019-04-04 00:00:00+00:00,0.0005416092112608054,0.001890426146695854,0.00010580165173464962,0.0008385026432435056,11.167456121610627,12.36496576997313,9.641089285714315,7.8784693888889175,0.5424252976190311,466.8906313574736,440.88043178240736,2.2369112303857164,2.189222978185333,burrard,3.205307156619959,2.9217471013670457
2019-04-05 00:00:00+00:00,-0.007969065641601514,-0.0004024200092071225,-0.0001854608141304969,9.963245453349859e-05,15.820452143358628,12.966108669666008,9.71979559523812,7.992716611111137,0.5448800297618926,465.31336018518516,444.25855860725306,4.035268511242859,2.582852052238666,burrard,3.2450991348365728,2.9403915759407484
2019-04-06 00:00:00+00:00,-0.021457298443280478,-0.006394102561084308,-0.0031028606123945962,-0.0010425660345292616,38.0254375391281,17.74431388612934,9.719993928571446,8.101909888888915,0.3978383928571288,459.0264824156746,443.9893372145062,6.413119159100002,2.975670498048667,burrard,3.2725746288260535,2.9596091977802175
2019-04-07 00:00:00+00:00,-0.024518488429005763,-0.009192326924183076,-0.004563732830365901,-0.001614414002369877,44.113741357877174,19.179238080416592,9.665290595238114,8.209043916666694,0.3262675892857,461.88204677579364,446.18974283950615,8.687428040671431,3.458722433022,burrard,3.2953285945469153,2.978959465267255
2019-04-08 00:00:00+00:00,-0.019886033507843476,-0.010200731244763539,-0.0045330570786359615,-0.001672584759432073,42.46038158711131,19.223131127596204,9.577544642857154,8.31691719444447,0.25257017857141556,462.28351476521163,447.412166246142,9.04485154427429,3.5396575918659994,burrard,3.319984146721145,2.999086859850064
2019-04-09 00:00:00+00:00,-0.002053420461011223,-0.01030160104602761,-0.0028672442326072426,-0.001346065235347756,40.73013460943379,20.060819339169246,9.488108333333344,8.41862472222225,0.26219044642856,467.1784387648809,450.36483522376545,9.317942994954288,3.6033789303579997,burrard,3.3425298557215677,3.0196853532260177
2019-04-10 00:00:00+00:00,0.0034414390568945764,-0.010312492658317587,-0.003513833245349598,-0.0010465903067604961,41.23209141866077,19.190073919475456,9.410335119047627,8.520960916666692,0.2458387499999901,462.478763806217,452.77092513503084,8.370263206691432,3.67733637448,burrard,3.3647229661583453,3.041466973477577
2019-04-11 00:00:00+00:00,0.0019345184885028249,-0.009603770125945531,-0.003856671989624836,-0.0011817894493117882,39.2897133587166,19.354804076261267,9.300388452380957,8.611131611111135,0.06803976190475071,456.7213823578042,451.67257504243827,8.698872125105718,3.3653259231066666,burrard,3.38700750667246,3.06361896334342
2019-04-12 00:00:00+00:00,-0.0003138266812402141,-0.007020784348729911,-0.0037116021789685145,-0.0010167748947496186,35.105570539174856,19.54242803525217,9.16971714285715,8.683143750000022,-0.005385654761917229,457.24403220072753,454.3537870679012,7.221494370640003,3.433545425722,burrard,3.4068467230369732,3.085888744605518
2019-04-13 00:00:00+00:00,-0.008413525819661807,-0.004722304391052443,-0.0055582034760683725,-0.001636309170715559,23.543719958145434,21.37624952863031,8.999413690476192,8.739190805555575,-0.0661986904761948,449.3148431712963,454.5858022608025,6.739684477708574,3.8467407119079997,burrard,3.4225966982227556,3.1078595981968733
2019-04-14 00:00:00+00:00,-0.007730528573720682,-0.0024089301879662095,-0.005800628556074641,-0.001706884818385415,18.72692609434504,21.486591318478165,8.89199869047619,8.803113333333352,-0.19589761904761968,446.5279719246032,456.3110838078703,4.763875656522859,3.8595835257386666,burrard,3.433998943339889,3.1292321391838716
2019-04-15 00:00:00+00:00,-0.011187439900351303,-0.0032928156598046937,-0.006746773452284113,-0.00207804979963955,19.30652471382381,21.40459249525503,8.815289166666664,8.858729222222241,-0.39671815476189715,446.48979631283066,458.29099292824077,4.6650341331200025,3.919919321118667,burrard,3.4381285109984843,3.1500664589725185
2019-04-16 00:00:00+00:00,-0.002480188442942358,-0.004905204954737216,-0.007603403000382411,-0.0023720781780399644,15.54682965606847,20.820395468342138,8.804431190476189,8.920547277777795,-0.5426986309523686,444.2564763392857,458.2498210416667,4.404136089954288,3.9191881708453336,burrard,3.437151450351297,3.1701581221503945
2019-04-17 00:00:00+00:00,-0.0068424890411404255,-0.006816327944266925,-0.008564410301292253,-0.0032123889656499663,19.682244957013857,20.957577147313646,8.781622023809527,8.970222444444463,-0.6046910119047482,445.933758994709,457.31557408179015,4.387583021360002,4.106775909112,burrard,3.4307643453556573,3.1899846433863406
2019-04-18 00:00:00+00:00,-0.007997456413384429,-0.007549376332042087,-0.008576573228993809,-0.0036939719063117326,24.019724432760103,21.300052217966826,8.777826309523814,9.015407333333352,-0.5522074999999843,439.5450256117725,454.9636014814815,7.918766532417146,5.116764691545333,burrard,3.421886072962965,3.209445012916335
2019-04-19 00:00:00+00:00,-0.008619248668896289,-0.008464671520875532,-0.00774272793480272,-0.004062720974970698,23.410764133991442,19.983043382476726,8.931235238095244,9.072717222222241,-0.5920675892857007,441.2634369378307,454.0535873958333,9.90302219888286,5.654652903212,burrard,3.4201196313995275,3.2301438876049913
2019-04-20 00:00:00+00:00,0.001232122572563914,-0.002682478633313044,-0.003702391512182742,-0.00352559509614084,17.76570678118453,20.92073693398859,9.119540238095258,9.115477777777796,-0.48292089285713147,453.16960090112434,456.34050937499995,8.010114945228574,5.6553840535086675,burrard,3.418554523244572,3.249816484394267
2019-04-21 00:00:00+00:00,0.0024396758209773734,-0.0031907173057429223,-0.002799823746854564,-0.003399253443907047,17.479003611447773,20.494675730956338,9.295162023809544,9.169884583333351,-0.369370595238081,456.0344908812831,458.2604672260802,7.714407788228574,5.639664321691999,burrard,3.421646226807263,3.269429940194222
2019-04-22 00:00:00+00:00,-0.003099682380095207,-0.004998489726480064,-0.0041456526931423765,-0.003969784592889767,23.74675781816151,22.192487880111344,9.499944404761932,9.221488805555573,-0.3221747321428471,452.10560247189153,455.4464367669753,8.822713598257145,5.785719544095333,burrard,3.4299895148197375,3.289120114875917
