site_code,source,data_kind,lat,lon,date,depth,o2,region,tau_along_3d,tau_along_7d,tau_along_14d,tau_along_30d,wind3_7d,wind3_30d,sstC_7d,sstC_30d,dT_14d,heat_14d,heat_30d,tp_mm_7d,tp_mm_30d,fraser_log_7d,fraser_log_30d,doy_sin,doy_cos,depth_log,is_cast,is_omz_ref
SEVIP,ONC,continuous,49.042926,-123.31671,2023-10-05 00:00:00+00:00,165.0,3.187056147984394,sog_central,0.002830159224106441,0.004733114756623266,-0.007158610641622624,-0.003132704165966995,11.198463506276259,23.03566332954443,13.363046190476187,15.183353222222243,-0.3346802083333224,439.9202937169312,470.34327064429016,1.983846922782854,2.5032202420206664,3.024454508419671,3.0787683606774903,-0.9975590477788613,0.06982797572987089,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-10-12 00:00:00+00:00,165.0,3.078993592669266,sog_central,-0.010266497294164066,-0.0051445401855073,-0.00020571271444201739,-0.004038603571741241,19.70601064383836,26.885312703473588,13.519945714285727,14.373800305555571,-0.03347705357141097,440.422139864418,455.60955730324076,4.246711731282854,3.4113089253426665,3.0467178653335543,3.0540079585600375,-0.981947190186646,0.18915526872004093,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-10-19 00:00:00+00:00,165.0,3.181520042088554,sog_central,-0.011074054434270897,-0.010225190468403826,-0.007684865326955563,-0.006389375898461802,23.47918292863836,31.83016093737498,13.17838345238098,13.634424027777792,0.3991425297619052,416.5243275214947,432.8845388503086,11.603423509174283,6.044435497377334,3.045574800879611,3.0412387055643744,-0.9521140536681102,0.3057430764672831,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-10-26 00:00:00+00:00,165.0,3.179844165384261,sog_central,0.0011401363822668017,0.00396677891603295,-0.003129205776185438,-0.0016836027802103997,12.223470152823273,15.718093334708385,11.712824285714305,12.972754361111127,-0.8363647916666618,391.9287516038359,418.0670449305555,5.741664341911425,5.927801128084,3.087763293667064,3.049539544421873,-0.9084917035725082,0.41790288888678667,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-11-02 00:00:00+00:00,165.0,3.0984301599344226,sog_central,-0.0038371750600004304,-4.652260605249289e-05,0.0019601281549902288,-0.0026308463413065894,5.045943029279949,14.171996440683081,10.3581735714286,12.277890527777798,-2.4462393749999927,373.5570510747355,399.4340568094136,4.233905252911426,6.053781506537334,2.988967758690003,3.0420637588088413,-0.8517119107469189,0.5240103253675756,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-11-09 00:00:00+00:00,165.0,3.4873093731518083,sog_central,-0.0016536619864610455,-0.012261925298331273,-0.006154223952191883,-0.004492337046536893,40.95517585841295,19.379802141037963,10.589562976190507,11.576171444444471,-1.5544376190476246,365.24462752976194,382.60725986882716,6.630829411751426,6.914742787182001,3.020294486798427,3.0358983038173113,-0.7825970017677834,0.6225286602431057,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-11-16 00:00:00+00:00,165.0,3.749303903279608,sog_central,0.00199616638472183,-0.009939723301807394,-0.011100824300069334,-0.005118160659972572,43.01791849383535,25.898905482120846,9.75765011904764,10.749089750000026,-1.0379944642857228,358.4531570684524,367.6666267245371,7.586819740562855,7.1981906798986675,2.9987855828617027,3.027470894757379,-0.7021479494046978,0.7120310787787131,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-11-23 00:00:00+00:00,165.0,3.194353767699704,sog_central,0.0070992380159517554,0.0029610454668285735,-0.00348933891748941,-0.004283162596385379,13.222523575785248,25.103515551812404,9.111853452380965,10.02416213888891,-2.0670979464285772,345.198569973545,356.9198095640432,2.796786155622854,5.791409800298,2.944048550872456,2.9944547767037633,-0.6115298757991053,0.7912213413483807,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-11-30 00:00:00+00:00,165.0,3.271702154164296,sog_central,-0.00116186645187424,0.0012436535961260068,0.0021023495314772904,-0.004584110511309136,3.0072964197403507,24.187308362643755,8.625462857142882,9.5796187777778,-2.8482111607142877,329.24381376488094,345.4082822145062,0.20299638691999697,5.005248376192,2.8972166145687352,2.963745615417778,-0.5120551783114646,0.8589525565270845,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-12-07 00:00:00+00:00,165.0,3.412366804241274,sog_central,-0.002420571311275189,-0.008412892035105363,-0.0035846192194896776,-0.00366389071183859,24.946798949946306,20.294606445355644,8.954820714285729,9.17831161111113,-2.468606547619036,329.3032631944444,337.153869529321,14.112472567511423,5.819543195364668,2.9354894920062518,2.9474184291204453,-0.4051645224207563,0.9142437912130223,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-12-14 00:00:00+00:00,165.0,4.11215486033397,sog_central,-0.0017460333347614349,-0.0036466288486928507,-0.006029760441899107,-0.0016088414419068075,20.12698404467731,14.625549131910367,8.208268571428587,8.758518138888906,-1.88016556547618,335.34548367228837,332.4131668479938,5.92115948583714,5.378166840991333,2.9205084782411093,2.927754124577747,-0.29240597695107734,0.9562942772197719,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-12-21 00:00:00+00:00,165.0,3.142165005900675,sog_central,-0.0067517336785365535,-0.0031433456834992313,-0.00339498726609604,-0.002350558255612482,5.66329590506953,14.613603045879582,8.10259095238097,8.518601388888905,-1.4657030357142966,335.575277662037,333.2217963040123,3.496783138505711,5.910460167572,2.8586137352232837,2.904857053323984,-0.17541259380427843,0.9844950085880858,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2023-12-28 00:00:00+00:00,165.0,2.9218450584847,sog_central,-0.03861392880107121,-0.021792758643317787,-0.012468052163408508,-0.008745007239140212,87.18084415050198,32.367131025264634,8.629066666666679,8.468119638888904,-0.833820178571427,335.3475025958995,333.79400094521606,4.982335205442854,6.700054814024,3.0001304214879445,2.9242479053548593,-0.05587875690537313,0.9984375616565666,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-01-04 00:00:00+00:00,165.0,3.897523922516819,sog_central,-0.009302561354828532,-0.007567624446242635,-0.014680191544780211,-0.008160425835193458,18.094463344485455,31.11972182412811,8.67684714285716,8.426273555555573,-0.8850120535714195,335.26503884755294,335.66509552469137,5.087239411454283,4.772186283511333,2.9639333537917723,2.942049172324195,0.06875540848113941,0.9976335468520451,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-01-11 00:00:00+00:00,165.0,3.814196589272926,sog_central,0.003595458648650619,-0.0010973258504714104,-0.0043324751483570225,-0.008034973353458033,32.22915113616936,33.751445249316234,8.140919761904772,8.371619638888905,-1.9453696428571365,329.8323525876323,332.13626526234566,7.622582562291426,5.297025043733999,2.8959991039649693,2.926109623312991,0.18809941761179758,0.9821499931752291,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-01-18 00:00:00+00:00,165.0,3.8826947197424335,sog_central,-0.0031819511944047654,-0.008984376003585577,-0.005040850927028493,-0.009795423531690406,59.038800172611005,46.90623627134876,6.995682142857155,8.117814277777791,-6.499882113095225,300.855309375,320.789875775463,3.2661982953199975,5.202611283518666,2.6626183428608066,2.880291736168234,0.3047192331091634,0.9524422234305676,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-01-25 00:00:00+00:00,165.0,4.5820691434826735,sog_central,-0.017473666444020732,-0.009270290285603984,-0.00912733314459478,-0.008536459957480116,27.066316586553814,40.65621556517407,6.8906932142857285,7.757839138888903,-5.598373928571419,314.3065435019841,322.93798916280866,10.588714051694282,6.486161548865999,2.747776370613003,2.8331506009578997,0.4169258813287287,0.908940487313808,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-02-01 00:00:00+00:00,165.0,4.907340500283576,sog_central,-0.011876040632670162,-0.012646132560797654,-0.010958211423200817,-0.008342131924879953,31.60896159181857,37.19065232282995,7.37727511904764,7.421254166666681,0.3248228273809559,354.06395338955025,329.105115775463,16.542979631799998,9.445222216161334,3.0713918664898783,2.8503287336858305,0.5230943033491326,0.8522748088519838,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-02-08 00:00:00+00:00,165.0,4.059600080346231,sog_central,0.0017112555638322468,0.003269256398186371,-0.00468843808130564,-0.00569354600061763,11.30775609044618,31.91825687107955,7.73992309523812,7.298200555555574,0.3930386011904789,357.633317270172,334.2627352623457,2.3761476709085687,7.668431593285334,3.1828149554014713,2.9121472784952287,0.6216868902665479,0.7832658619336791,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-02-15 00:00:00+00:00,165.0,3.06804877043092,sog_central,0.0012990077186049755,-0.00019407529743655817,0.0015375905503749072,-0.004708458046877606,21.305406150500925,22.547485311032123,7.614952619047642,7.354609750000022,-1.6858083630952396,352.9020997767857,350.6881458101852,3.3775738380085683,8.397547399123335,3.0982135623579743,2.9999025433841933,0.7112757519738152,0.7029130847082615,2.2174839442139063,0,0
SEVIP,ONC,continuous,49.042926,-123.31671,2024-02-22 00:00:00+00:00,165.0,3.621198512265626,sog_central,-5.901715832624596e-05,-0.00047874837369453,-0.00033641183556554324,-0.00383104199845333,6.327431955529294,21.367801734255025,7.476774642857159,7.539615222222242,-1.2983703571428538,360.70158982308203,358.02414587962966,3.3424922339028535,6.616433456564667,2.9880147509913852,3.0689813028657427,0.7905633969115482,0.612380204990065,2.2174839442139063,0,0
